2018-Aug-03 16:23:39.517386 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:23:51.518193 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:03.519005 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:15.519862 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:27.520714 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:39.521540 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:24:51.522370 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:25:03.523251 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:25:15.524111 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:25:27.524956 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:25:39.525806 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:25:51.526680 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:26:03.527527 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:26:15.528371 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:26:27.529244 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:26:39.530097 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:26:51.530945 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:27:03.531793 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:27:15.532648 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:27:27.533512 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:27:39.534314 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:27:51.535132 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:28:03.535983 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:28:15.536824 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:28:27.537727 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:28:39.538587 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:28:51.539419 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:29:03.540265 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:29:15.541118 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:29:27.542001 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:29:39.542854 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:29:51.543721 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:30:03.544571 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:30:15.545452 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:30:27.546302 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:30:39.547157 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:30:51.548194 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:31:03.549065 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:31:15.549936 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:31:27.550802 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:31:39.551653 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:31:51.552527 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:32:03.553414 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:32:15.554283 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:32:27.555170 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:32:39.556016 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:32:51.556862 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:33:03.557770 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:33:15.558608 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:33:27.559476 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:33:39.560327 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:33:51.561219 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:34:03.562090 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:34:15.562981 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:34:27.563860 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:34:39.564751 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:34:51.565657 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:35:03.566557 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:35:15.567460 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:35:27.568360 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:35:39.569218 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:35:51.570075 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:36:03.570936 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
2018-Aug-03 16:36:15.571812 ERROR   [node_server] Failed to connect to any of seed peers, continuing without seeds
